CV1 (voltage),CV2 (voltage),Flow 1 (LPH),Flow 2 (LPH),Level 1 (mm),Level 2 (mm),Time (sec)
4.5,4.5,214.4606018,217.9822693,172.6269836,151.7675781,18.4
4.5,4.5,214.5727539,218.071991,172.763092,146.6353455,18.6
4.5,4.5,214.4381714,218.9243774,172.7825317,151.8647766,18.8
4.5,4.5,214.4606018,219.1038208,172.6658936,151.8842163,19
4.5,4.5,215.6494141,219.0140991,172.6658936,151.8842163,19.2
4.5,4.5,215.4700012,219.1038208,172.6853333,151.8258972,19.4
4.5,4.5,215.8737793,219.2832947,172.7047729,151.903656,19.6
4.5,4.5,215.537262,218.9916687,172.7825317,151.8258972,19.8
4.5,4.5,215.3578491,218.9243774,172.6658936,151.8453369,20
4.5,4.5,215.5596924,219.0589905,172.7242126,151.8453369,20.2
4.5,4.5,215.6045837,219.0589905,172.7047729,151.8453369,20.4
4.5,4.5,215.5821533,219.0589905,172.7047729,151.903656,20.6
4.5,4.5,215.5821533,218.9916687,172.6464539,151.7870178,20.8
4.5,4.5,215.5596924,218.8346863,172.7825317,151.903656,21
4.5,4.5,216.5691528,218.8570862,172.7825317,151.8842163,21.2
4.5,4.5,216.5691528,218.8346863,172.7825317,151.903656,21.4
4.5,4.5,216.5915527,218.9692383,172.763092,151.9230957,21.6
4.5,4.5,216.5691528,219.8216553,172.7436523,151.8842163,21.8
4.5,4.5,216.5691528,219.7991943,172.7047729,151.8064575,22
4.5,4.5,216.5018311,219.9562378,172.763092,151.9425354,22.2
4.5,4.5,216.6812744,219.9338074,172.7436523,151.9619751,22.4
4.5,4.5,216.5691528,219.9113464,172.7436523,151.9230957,22.6
4.5,4.5,216.6139832,220.0234985,172.7436523,151.9230957,22.8
4.5,4.5,216.4569702,219.9338074,172.7436523,151.8453369,23
4.5,4.5,216.5242615,220.3375244,172.7242126,151.8647766,23.2
4.5,4.5,216.3223877,220.8534546,172.8214111,151.8842163,23.4
4.5,4.5,216.5691528,220.875885,172.8019714,151.8842163,23.6
4.5,4.5,216.8607178,220.9656067,172.7436523,151.8842163,23.8
4.5,4.5,216.4794006,220.9880371,172.7436523,151.8842163,24
4.5,4.5,216.5915527,221.1899414,172.7047729,151.8258972,24.2
4.5,4.5,216.7261353,221.1450806,172.8019714,151.9619751,24.4
4.5,4.5,216.9728699,220.9207153,172.8019714,151.8647766,24.6
4.5,4.5,216.4794006,221.9750061,172.7242126,151.8647766,24.8
4.5,4.5,216.5915527,221.9974365,172.7047729,151.8647766,25
4.5,4.5,216.658844,221.9076843,172.763092,151.8258972,25.2
4.5,4.5,216.6364136,220.8534546,172.7047729,151.7870178,25.4
4.5,4.5,216.658844,220.9880371,172.7047729,151.8258972,25.6
4.5,4.5,216.5242615,220.9656067,172.6853333,151.7870178,25.8
4.5,4.5,216.8382874,221.010437,172.6658936,151.7286987,26
4.5,4.5,217.6906738,220.9656067,172.7436523,151.8647766,26.2
4.5,4.5,217.5112305,220.9656067,172.7242126,151.8258972,26.4
4.5,4.5,217.7130737,220.8982849,172.6853333,151.7870178,26.6
4.5,4.5,217.645813,220.9880371,172.7825317,151.8453369,26.8
4.5,4.5,217.6009216,220.9656067,172.7825317,151.8064575,27
4.5,4.5,217.645813,221.0777588,172.8019714,151.8647766,27.2
4.5,4.5,217.5560913,220.9207153,172.8214111,151.8842163,27.4
4.5,4.5,217.5784912,221.0777588,172.7047729,151.8842163,27.6
4.5,4.5,217.6682434,221.1450806,172.7047729,151.8453369,27.8
4.5,4.5,217.4663696,219.888916,172.7242126,151.8258972,28
4.5,4.5,217.4663696,219.8665161,172.7825317,151.8258972,28.2
4.5,4.5,217.4439392,219.7319336,172.7436523,151.8258972,28.4
4.5,4.5,217.6233826,220.0234985,172.8019714,151.8842163,28.6
4.5,4.5,217.645813,220.0010681,172.7242126,151.8647766,28.8
4.5,4.5,217.5112305,219.6870422,172.8797302,151.9230957,29
4.5,4.5,217.7130737,220.0459595,172.8019714,151.9425354,29.2
4.5,4.5,217.5336609,220.0683899,172.8019714,151.8842163,29.4
4.5,4.5,217.5560913,220.2478027,172.763092,151.9619751,29.6
4.5,4.5,217.645813,220.2926941,172.8019714,151.9230957,29.8
4.5,4.5,217.6009216,219.888916,172.8797302,152.0202942,30
4.5,4.5,217.4439392,219.8665161,172.7436523,151.903656,30.2
4.5,4.5,217.5336609,220.0459595,172.7242126,151.8258972,30.4
4.5,4.5,217.6009216,219.9562378,172.6658936,151.7870178,30.6
4.5,4.5,217.6009216,220.0908203,172.8797302,151.903656,30.8
4.5,4.5,217.6233826,220.1132202,172.7436523,151.7870178,31
4.5,4.5,217.645813,220.0683899,172.8214111,151.7675781,31.2
4.5,4.5,217.5112305,220.1132202,172.7825317,151.8842163,31.4
4.5,4.5,217.6009216,220.0234985,172.7436523,151.8258972,31.6
4.5,4.5,216.4569702,219.9562378,172.8408508,151.903656,31.8
4.5,4.5,216.5691528,220.0683899,172.7825317,151.8453369,32
4.5,4.5,216.6364136,219.9786682,172.8214111,151.903656,32.2
4.5,4.5,216.5018311,219.9338074,172.8408508,151.9230957,32.4
4.5,4.5,216.5018311,219.9338074,172.8214111,151.9425354,32.6
4.5,4.5,216.5915527,220.0234985,172.8019714,151.9230957,32.8
4.5,4.5,216.6812744,220.1356506,172.7436523,157.016449,33
4.5,4.5,216.5018311,219.8440857,172.7047729,156.9775696,33.2
4.5,4.5,216.7037048,220.0683899,172.7242126,151.7481384,33.4
4.5,4.5,216.3223877,219.9113464,172.7436523,151.8064575,33.6
4.5,4.5,216.7037048,220.0908203,172.7242126,151.7286987,33.8
4.5,4.5,216.5691528,220.0683899,172.7047729,156.9386902,34
4.5,4.5,217.5784912,219.9786682,172.7047729,151.8258972,34.2
4.5,4.5,217.4439392,220.1132202,172.7047729,151.709259,34.4
4.5,4.5,217.6233826,220.0234985,172.7242126,151.7286987,34.6
4.5,4.5,217.6233826,219.8665161,172.7047729,156.9581299,34.8
4.5,4.5,217.4887695,219.9562378,172.7436523,156.9970093,35
4.5,4.5,217.6233826,220.1356506,172.7047729,156.9775696,35.2
4.5,4.5,216.4794006,219.8216553,172.7436523,156.9581299,35.4
4.5,4.5,216.5466919,219.9562378,172.7047729,156.9775696,35.6
4.5,4.5,216.3223877,220.8085632,172.763092,156.9386902,35.8
4.5,4.5,216.7709961,221.010437,172.7242126,156.9581299,36
4.5,4.5,216.4569702,220.7861328,172.7242126,156.9775696,36.2
4.5,4.5,216.5018311,220.9207153,172.763092,157.0747681,36.4
4.5,4.5,216.6139832,221.010437,172.7436523,156.9386902,36.6
4.5,4.5,216.7037048,221.1226196,172.763092,157.016449,36.8
4.5,4.5,216.9055786,221.1899414,172.8214111,157.0358887,37
4.5,4.5,216.4794006,220.9431763,172.8019714,157.0358887,37.2
4.5,4.5,216.6139832,221.010437,172.7825317,156.9970093,37.4
4.5,4.5,216.793457,221.2347717,172.8408508,157.1525269,37.6
4.5,4.5,216.5691528,220.9656067,172.7825317,157.0747681,37.8
4.5,4.5,216.5018311,221.2572327,172.7242126,157.0553284,38
4.5,4.5,216.658844,220.9207153,172.7825317,157.1330872,38.2
4.5,4.5,216.6812744,221.1226196,172.7436523,157.0358887,38.4
4.5,4.5,216.6364136,221.0777588,172.7242126,157.016449,38.6
4.5,4.5,216.4345398,220.6964111,172.7436523,157.016449,38.8
4.5,4.5,216.5018311,220.7637329,172.7436523,156.9581299,39
4.5,4.5,216.6812744,221.0553284,172.7242126,157.0553284,39.2
4.5,4.5,216.5915527,220.9431763,172.7436523,156.9192505,39.4
4.5,4.5,216.5915527,221.167511,172.6658936,156.9775696,39.6
4.5,4.5,216.5915527,220.9207153,172.6269836,156.9192505,39.8
4.5,4.5,216.6139832,220.8534546,177.9342041,156.9581299,40
4.5,4.5,216.5466919,220.8982849,172.763092,156.9970093,40.2
4.5,4.5,216.367218,220.7188721,177.8564758,156.9192505,40.4
4.5,4.5,216.5915527,221.0777588,177.8953247,157.016449,40.6
4.5,4.5,216.7261353,220.9207153,172.7436523,156.9970093,40.8
4.5,4.5,216.5242615,220.8982849,172.6269836,156.9775696,41
4.5,4.5,216.5242615,221.1226196,172.6658936,156.8998108,41.2
4.5,4.5,216.6139832,221.2572327,172.7242126,156.9192505,41.4
4.5,4.5,216.5915527,221.0777588,172.6853333,156.9386902,41.6
4.5,4.5,216.6812744,220.9207153,172.6464539,156.8803711,41.8
4.5,4.5,216.6139832,221.0328674,172.6658936,156.9970093,42
4.5,4.5,216.6139832,220.9656067,172.7436523,156.9970093,42.2
4.5,4.5,216.6364136,220.9207153,172.6269836,156.8609314,42.4
4.5,4.5,216.5915527,220.9656067,172.7242126,156.9970093,42.6
4.5,4.5,216.7485657,221.1450806,172.7047729,156.9970093,42.8
4.5,4.5,216.7037048,220.1356506,172.7047729,156.9386902,43
4.5,4.5,216.6812744,219.888916,172.7047729,157.016449,43.2
4.5,4.5,216.793457,220.0908203,172.7436523,157.1525269,43.4
4.5,4.5,216.8158569,220.0908203,172.7047729,157.0358887,43.6
4.5,4.5,216.5915527,219.9786682,172.7436523,157.1330872,43.8
4.5,4.5,216.6139832,219.9562378,172.7047729,156.9970093,44
4.5,4.5,216.6139832,220.1132202,177.875885,157.0358887,44.2
4.5,4.5,216.5466919,220.0459595,172.7047729,157.016449,44.4
4.5,4.5,216.5691528,219.9113464,178.0314026,157.0553284,44.6
4.5,4.5,216.5466919,221.010437,177.8953247,157.016449,44.8
4.5,4.5,216.5018311,221.3245239,177.9536743,157.0358887,45
4.5,4.5,216.6364136,220.9880371,177.9925232,157.2108765,45.2
4.5,4.5,216.4121094,220.9431763,177.9536743,157.0553284,45.4
4.5,4.5,216.5242615,220.9431763,177.9536743,157.0358887,45.6
4.5,4.5,216.5915527,220.9207153,172.6853333,157.0553284,45.8
4.5,4.5,216.6364136,220.7413025,177.875885,156.9386902,46
4.5,4.5,216.5691528,220.9656067,172.7242126,157.0942383,46.2
4.5,4.5,216.7037048,221.1450806,177.9925232,157.0358887,46.4
4.5,4.5,216.6139832,220.8982849,177.9536743,157.1719971,46.6
4.5,4.5,216.5466919,220.9880371,177.8370056,156.9581299,46.8
4.5,4.5,216.6364136,221.2796631,178.0897217,157.1330872,47
4.5,4.5,216.5915527,220.9656067,177.9342041,157.016449,47.2
4.5,4.5,216.5691528,220.9431763,177.8564758,157.016449,47.4
4.5,4.5,216.6139832,221.0777588,172.6075439,156.9775696,47.6
4.5,4.5,216.367218,220.9880371,172.7047729,157.0747681,47.8
4.5,4.5,216.4345398,220.9656067,177.9147644,156.9775696,48
